cntry,cname,cedition,cproddat,cseqno,name,essround,edition,idno,dweight,pspwght,pweight,anweight,lrscale,ctzcntr,gndr,agea,edulvla,tporgwk,hinctnt,hinctnta,regiongb,wrywprb,jbprtfp,stfjb,plnftr
GB,ESS1-9e01,1.0,10.12.2020,183765,ESS1e06_6,1,6.6,100923,1.0512,1.11574197697345,2.32684152046784,2.5961547581507,5,1,1,74,5,,6,,11,,,,
GB,ESS1-9e01,1.0,10.12.2020,183766,ESS1e06_6,1,6.6,101001,0.5256,0.644755852368783,2.32684152046784,1.50024468785631,5,1,2,26,2,,3,,11,,,,
GB,ESS1-9e01,1.0,10.12.2020,183767,ESS1e06_6,1,6.6,101003,1.0512,1.38512374662031,2.32684152046784,3.22296344462211,4,1,2,73,99,,5,,11,,,,
GB,ESS1-9e01,1.0,10.12.2020,183768,ESS1e06_6,1,6.6,101004,1.0512,1.38512374662031,2.32684152046784,3.22296344462211,7,1,2,75,1,,4,,11,,,,
GB,ESS1-9e01,1.0,10.12.2020,183769,ESS1e06_6,1,6.6,101007,1.0512,1.11574197697345,2.32684152046784,2.5961547581507,0,1,1,71,5,,88,,11,,,,
GB,ESS1-9e01,1.0,10.12.2020,183770,ESS1e06_6,1,6.6,101008,1.0512,1.11574197697345,2.32684152046784,2.5961547581507,5,1,1,78,1,,4,,11,,,,
GB,ESS1-9e01,1.0,10.12.2020,183771,ESS1e06_6,1,6.6,101009,0.5256,0.644755852368783,2.32684152046784,1.50024468785631,88,1,2,25,2,,5,,11,,,,
GB,ESS1-9e01,1.0,10.12.2020,183772,ESS1e06_6,1,6.6,101010,0.5256,0.635593691734079,2.32684152046784,1.47892579207429,5,1,1,43,2,,6,,11,,,,
GB,ESS1-9e01,1.0,10.12.2020,183773,ESS1e06_6,1,6.6,101011,0.5256,0.635593691734079,2.32684152046784,1.47892579207429,5,1,1,47,5,,6,,11,,,,
GB,ESS1-9e01,1.0,10.12.2020,183774,ESS1e06_6,1,6.6,101012,1.0512,1.11574197697345,2.32684152046784,2.5961547581507,88,1,1,68,1,,5,,11,,,,
GB,ESS1-9e01,1.0,10.12.2020,183775,ESS1e06_6,1,6.6,101013,0.5256,0.557870988486726,2.32684152046784,1.29807737907535,5,1,1,81,1,,4,,11,,,,
GB,ESS1-9e01,1.0,10.12.2020,183776,ESS1e06_6,1,6.6,101014,1.5768,1.80257856781807,2.32684152046784,4.19431465550454,4,1,2,44,5,,10,,11,,,,
GB,ESS1-9e01,1.0,10.12.2020,183777,ESS1e06_6,1,6.6,101015,1.0512,1.20171904521205,2.32684152046784,2.79620977033637,5,1,2,35,1,,6,,11,,,,
GB,ESS1-9e01,1.0,10.12.2020,183778,ESS1e06_6,1,6.6,101017,0.5256,0.635593691734079,2.32684152046784,1.47892579207429,5,1,1,38,1,,6,,11,,,,
GB,ESS1-9e01,1.0,10.12.2020,183779,ESS1e06_6,1,6.6,101021,0.5256,0.635593691734079,2.32684152046784,1.47892579207429,88,1,1,38,1,,5,,11,,,,
GB,ESS1-9e01,1.0,10.12.2020,183780,ESS1e06_6,1,6.6,101023,2.1024,2.54237476693631,2.32684152046784,5.91570316829715,6,1,1,51,1,,8,,11,,,,
GB,ESS1-9e01,1.0,10.12.2020,183781,ESS1e06_6,1,6.6,101107,0.0526,0.0601316797737386,2.32684152046784,0.139916889193011,88,1,2,43,5,,5,,11,,,,
GB,ESS1-9e01,1.0,10.12.2020,183782,ESS1e06_6,1,6.6,101108,0.5256,0.692561873310154,2.32684152046784,1.61148172231105,6,1,2,56,5,,5,,11,,,,
GB,ESS1-9e01,1.0,10.12.2020,183783,ESS1e06_6,1,6.6,101109,2.1024,2.57902340947514,2.32684152046784,6.00097875142528,4,1,2,20,5,,4,,11,,,,
GB,ESS1-9e01,1.0,10.12.2020,183784,ESS1e06_6,1,6.6,101111,1.0512,1.28951170473756,2.32684152046784,3.00048937571262,88,1,2,20,3,,9,,11,,,,
GB,ESS1-9e01,1.0,10.12.2020,183785,ESS1e06_6,1,6.6,101112,1.0512,1.51518826814802,2.32684152046784,3.52560297365256,3,1,1,29,3,,5,,11,,,,
GB,ESS1-9e01,1.0,10.12.2020,183786,ESS1e06_6,1,6.6,101116,0.1971,0.22532232097726,2.32684152046784,0.524289331938069,88,1,2,52,99,,5,,11,,,,
GB,ESS1-9e01,1.0,10.12.2020,183787,ESS1e06_6,1,6.6,101118,1.5768,1.93426755710635,2.32684152046784,4.50073406356894,4,1,2,22,3,,6,,11,,,,
GB,ESS1-9e01,1.0,10.12.2020,183788,ESS1e06_6,1,6.6,101121,0.1051,0.120149040764637,2.32684152046784,0.279567776695541,3,2,2,47,5,,8,,11,,,,
GB,ESS1-9e01,1.0,10.12.2020,183789,ESS1e06_6,1,6.6,101122,0.0526,0.0601316797737386,2.32684152046784,0.139916889193011,0,1,2,37,5,,4,,11,,,,
GB,ESS1-9e01,1.0,10.12.2020,183790,ESS1e06_6,1,6.6,101203,0.5256,0.557870988486726,2.32684152046784,1.29807737907535,5,1,1,65,2,,4,,11,,,,
GB,ESS1-9e01,1.0,10.12.2020,183791,ESS1e06_6,1,6.6,101204,0.5256,0.635593691734079,2.32684152046784,1.47892579207429,6,1,1,52,1,,6,,11,,,,
GB,ESS1-9e01,1.0,10.12.2020,183792,ESS1e06_6,1,6.6,101208,1.5768,1.93426755710635,2.32684152046784,4.50073406356894,5,1,2,34,1,,8,,11,,,,
GB,ESS1-9e01,1.0,10.12.2020,183793,ESS1e06_6,1,6.6,101211,1.0512,1.20171904521205,2.32684152046784,2.79620977033637,4,1,2,42,5,,9,,11,,,,
GB,ESS1-9e01,1.0,10.12.2020,183794,ESS1e06_6,1,6.6,101212,0.5256,0.692561873310154,2.32684152046784,1.61148172231105,7,1,2,87,1,,5,,11,,,,
GB,ESS1-9e01,1.0,10.12.2020,183795,ESS1e06_6,1,6.6,101214,1.0512,1.38512374662031,2.32684152046784,3.22296344462211,4,1,2,68,2,,6,,11,,,,
GB,ESS1-9e01,1.0,10.12.2020,183796,ESS1e06_6,1,6.6,101215,0.5256,0.600859522606026,2.32684152046784,1.39810488516818,2,1,2,36,2,,6,,11,,,,
GB,ESS1-9e01,1.0,10.12.2020,183797,ESS1e06_6,1,6.6,101216,1.5768,1.90678107520224,2.32684152046784,4.43677737622287,5,1,1,45,1,,5,,11,,,,
GB,ESS1-9e01,1.0,10.12.2020,183798,ESS1e06_6,1,6.6,101218,0.5256,0.557870988486726,2.32684152046784,1.29807737907535,7,1,1,62,1,,9,,11,,,,
GB,ESS1-9e01,1.0,10.12.2020,183799,ESS1e06_6,1,6.6,101220,1.0512,1.11574197697345,2.32684152046784,2.5961547581507,2,1,1,67,5,,5,,11,,,,
GB,ESS1-9e01,1.0,10.12.2020,183800,ESS1e06_6,1,6.6,101224,0.5256,0.692561873310154,2.32684152046784,1.61148172231105,5,1,2,80,1,,1,,11,,,,
GB,ESS1-9e01,1.0,10.12.2020,183801,ESS1e06_6,1,6.6,101304,2.1024,3.03037653629604,2.32684152046784,7.05120594730512,7,1,1,20,2,,12,,11,,,,
GB,ESS1-9e01,1.0,10.12.2020,183802,ESS1e06_6,1,6.6,101305,1.5768,1.80257856781807,2.32684152046784,4.19431465550454,2,1,2,50,1,,9,,11,,,,
GB,ESS1-9e01,1.0,10.12.2020,183803,ESS1e06_6,1,6.6,101306,1.0512,1.11574197697345,2.32684152046784,2.5961547581507,6,1,1,55,2,,10,,11,,,,
GB,ESS1-9e01,1.0,10.12.2020,183804,ESS1e06_6,1,6.6,101308,1.0512,1.38512374662031,2.32684152046784,3.22296344462211,0,1,2,67,1,,5,,11,,,,
GB,ESS1-9e01,1.0,10.12.2020,183805,ESS1e06_6,1,6.6,101309,1.5768,2.27278240222203,2.32684152046784,5.28840446047886,5,1,1,18,3,,4,,11,,,,
GB,ESS1-9e01,1.0,10.12.2020,183806,ESS1e06_6,1,6.6,101313,1.0512,1.20171904521205,2.32684152046784,2.79620977033637,5,1,2,44,2,,6,,11,,,,
GB,ESS1-9e01,1.0,10.12.2020,183807,ESS1e06_6,1,6.6,101315,1.0512,1.51518826814802,2.32684152046784,3.52560297365256,5,1,1,27,2,,9,,11,,,,
GB,ESS1-9e01,1.0,10.12.2020,183808,ESS1e06_6,1,6.6,101316,1.0512,1.51518826814802,2.32684152046784,3.52560297365256,88,1,1,16,2,,5,,11,,,,
GB,ESS1-9e01,1.0,10.12.2020,183809,ESS1e06_6,1,6.6,101317,1.0512,1.20171904521205,2.32684152046784,2.79620977033637,2,1,2,54,1,,9,,11,,,,
GB,ESS1-9e01,1.0,10.12.2020,183810,ESS1e06_6,1,6.6,101318,1.0512,1.27118738346816,2.32684152046784,2.95785158414857,5,1,1,51,1,,8,,11,,,,
GB,ESS1-9e01,1.0,10.12.2020,183811,ESS1e06_6,1,6.6,101320,1.0512,1.51518826814802,2.32684152046784,3.52560297365256,5,1,1,27,2,,9,,11,,,,
